store_id,store_name,sgg,admin_dong,last_order_at,order_cnt_3m
185532,스타벅스 금호역,성동구,금호4가동,2026-06-30T10:59:32+09:00,1272
196190,올리브영 황학사거리점,성동구,왕십리도선동,2026-06-30T10:58:06+09:00,1017
32622,홈플러스익스프레스 금호2점,성동구,금호2·3가동,2026-06-30T10:57:22+09:00,174
165565,요기요OD_성북동선지점/성북,성북구,동선동,2026-06-30T10:55:32+09:00,9303
196907,요기요OD_성북길음지점/강북도봉,성북구,길음2동,2026-06-30T10:44:32+09:00,5687
30134,올리브영 상왕십리역점,성동구,왕십리도선동,2026-06-30T10:44:05+09:00,1168
158869,올리브영 신금호역점,성동구,금호2·3가동,2026-06-30T10:34:06+09:00,2635
193683,올리브영 돈암중앙점,성북구,동선동,2026-06-30T10:24:07+09:00,518
177743,스타벅스 신금호역,성동구,금호2·3가동,2026-06-30T10:21:34+09:00,1735
66066,GS25 왕십리동진점,성동구,왕십리2동,2026-06-29T22:43:14+09:00,54
167041,CU 성북한신점,성북구,돈암2동,2026-06-29T22:28:36+09:00,6
60745,GS25 금호역점,성동구,옥수동,2026-06-29T21:31:15+09:00,41
234117,(선택)배스킨라빈스 정릉시장점,성북구,정릉2동,2026-06-29T21:24:32+09:00,200
65076,GS25 고대종암점,성북구,종암동,2026-06-29T21:23:38+09:00,56
54132,[유휴]올리브영 상왕십리역점,성동구,왕십리도선동,2026-06-29T21:21:49+09:00,414
220823,[유휴]올리브영 한성대입구역점,성북구,삼선동,2026-06-29T21:21:47+09:00,113
193879,[유휴]올리브영 성신여대입구역점,성북구,동선동,2026-06-29T21:21:44+09:00,169
158870,[유휴]올리브영 신금호역점,성동구,금호2·3가동,2026-06-29T21:21:37+09:00,1051
196198,[유휴]올리브영 황학사거리점,성동구,왕십리도선동,2026-06-29T21:21:33+09:00,387
54136,[유휴]올리브영 금호점,성동구,금호4가동,2026-06-29T21:21:27+09:00,663
262643,KFC 신금호역점,성동구,금호2·3가동,2026-06-29T21:03:48+09:00,363
180586,이마트에브리데이 행당점,성동구,행당1동,2026-06-29T20:49:53+09:00,167
42272,홈플러스익스프레스 삼선점,성북구,삼선동,2026-06-29T20:48:31+09:00,296
32623,홈플러스익스프레스 신금호점,성동구,금호2·3가동,2026-06-29T20:39:19+09:00,299
194980,세븐일레븐 왕십리텐즈힐점,성동구,왕십리도선동,2026-06-29T20:36:14+09:00,13
249299,GS더프레시 성동옥수점,성동구,옥수동,2026-06-29T20:32:05+09:00,199
193684,올리브영 돈암점,성북구,동선동,2026-06-29T20:04:05+09:00,680
30129,올리브영 금호점,성동구,금호4가동,2026-06-29T20:02:06+09:00,2012
42275,왕십리점 홈플러스익스프레스,성동구,왕십리2동,2026-06-29T19:57:24+09:00,150
165703,요기요OD_단건_성북동선지점/성북,성북구,동선동,2026-06-29T18:43:03+09:00,528
193685,올리브영 성신여대입구역점,성북구,동선동,2026-06-29T18:42:06+09:00,512
181742,(선택)배스킨라빈스 성북아리랑점,성북구,동선동,2026-06-29T18:34:47+09:00,99
197892,[월곡동]슈퍼키친(반찬상점) 1층,성북구,길음2동,2026-06-29T18:30:44+09:00,54
181737,(선택)배스킨라빈스 한양대점,성동구,사근동,2026-06-29T17:23:00+09:00,112
53575,CU 성북점,성북구,성북동,2026-06-29T16:39:27+09:00,37
142087,CU 한양사대부고점,성동구,마장동,2026-06-29T15:46:49+09:00,10
193878,[유휴]올리브영 돈암점,성북구,동선동,2026-06-29T14:23:19+09:00,245
193877,[유휴]올리브영 돈암중앙점,성북구,동선동,2026-06-29T14:22:36+09:00,218
177147,GS더프레시 성동텐즈힐점,성동구,왕십리도선동,2026-06-29T14:17:22+09:00,132
