변경구분,상점ID,상점명,할증ID,할증명,할증유형,판가(전→후),원가(전→후),종료일
매핑해제,117550,즉) 아리따움 한성대점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,118739,슈퍼키친 상왕십리,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,118739,슈퍼키친 상왕십리,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,118976,슈퍼키친 옥수역,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,118976,슈퍼키친 옥수역,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,118978,슈퍼키친 행당역,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,118978,슈퍼키친 행당역,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126086,CU 성동벽산점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,126086,CU 성동벽산점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126086,CU 성동벽산점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126087,CU 행당레몬점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,126087,CU 행당레몬점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126087,CU 행당레몬점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126090,CU 신금호파크자이점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,126090,CU 신금호파크자이점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126090,CU 신금호파크자이점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126232,CU 한양대사랑점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,126232,CU 한양대사랑점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126232,CU 한양대사랑점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126809,CU 한양대후문점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,126809,CU 한양대후문점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,126809,CU 한양대후문점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,129620,GS25 성동금남점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,129620,GS25 성동금남점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
