지표,관심상점(261922),타상점_전체,타상점_50건이상,타상점_요기요OD제외,관심-타상점50건_차이
분석 오더 건수,542.0,18906.0,16711.0,11508.0,
상점 수,1.0,258.0,52.0,257.0,
조기·정시 도착 건수,407.0,13000.0,11542.0,8185.0,
조기·정시 도착 비중(%),75.09,68.76,69.07,71.12,6.02
지각 도착 건수,135.0,5906.0,5169.0,3323.0,
지각 도착 비중(%),24.91,31.24,30.93,28.88,-6.02
요청 대비 도착 차이 평균(분),-4.68,-2.29,-2.42,-2.45,-2.26
[조기] 요청→픽업 차이 평균(분),-2.05,-4.08,-4.01,-4.15,1.96
[조기] 도착→픽업 대기 평균(분),6.05,2.76,2.86,2.64,3.19
[지각] 요청→픽업 차이 평균(분),6.5,8.5,8.27,9.08,-1.77
[지각] 도착→픽업 대기 평균(분),0.88,0.77,0.75,0.85,0.13
