상점_ID,상점명,관심상점_여부,분석_오더_건수,조기도착_건수,조기도착_비중_%,지각도착_건수,지각도착_비중_%,요청대비_도착차이_평균_분,조기_요청대비_픽업차이_평균_분,조기_도착후_대기_평균_분,지각_요청대비_픽업차이_평균_분,지각_도착후_대기_평균_분,타상점50건_조기도착_비중_%,타상점50건_지각도착_비중_%,타상점50건_요청대비_도착차이_평균_분,타상점50건_조기_요청대비_픽업차이_평균_분,타상점50건_조기_도착후_대기_평균_분,타상점50건_지각_요청대비_픽업차이_평균_분,타상점50건_지각_도착후_대기_평균_분,조기도착_비중_타상점대비_차이_pp,지각도착_비중_타상점대비_차이_pp,요청대비_도착차이_타상점대비_차이_분,조기_요청대비_픽업차이_타상점대비_차이_분,조기_대기_타상점대비_차이_분,지각_요청대비_픽업차이_타상점대비_차이_분,지각_대기_타상점대비_차이_분
261922,[직영A] 교촌치킨 시립대점★정문X우측픽업★,Y,542,407,75.09,135,24.91,-4.68,-2.05,6.05,6.5,0.88,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,6.02,-6.02,-2.26,1.96,3.19,-1.77,0.13
165068,요기요OD_(btf) 동대문 zone 1/동대문,N,7398,4815,65.09,2583,34.91,-2.03,-3.96,2.96,7.74,0.67,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-3.98,3.98,0.39,0.05,0.1,-0.53,-0.08
262583,[직영A] 동대문엽기떡볶이 신설동점,N,698,397,56.88,301,43.12,1.2,-2.38,3.35,11.37,1.02,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-12.19,12.19,3.62,1.63,0.49,3.1,0.27
264782,버거킹 동대문중학교사거리점,N,616,494,80.19,122,19.81,-3.61,-4.76,1.42,7.58,0.8,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,11.12,-11.12,-1.19,-0.75,-1.44,-0.69,0.05
264499,[직영A]교촌치킨 경희대점,N,564,448,79.43,116,20.57,-5.13,-3.11,5.19,7.85,0.74,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,10.36,-10.36,-2.71,0.9,2.33,-0.42,-0.01
262721,스타벅스 장안사거리,N,539,458,84.97,81,15.03,-5.64,-6.07,1.54,5.99,0.51,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,15.9,-15.9,-3.22,-2.06,-1.32,-2.28,-0.24
165956,요기요OD_단건_(btf) 동대문 zone 1/동대문,N,388,205,52.84,183,47.16,1.4,-2.96,3.04,10.71,1.03,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-16.23,16.23,3.82,1.05,0.18,2.44,0.28
262723,스타벅스 장한평역,N,344,264,76.74,80,23.26,-3.89,-5.44,1.51,6.78,0.58,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,7.67,-7.67,-1.47,-1.43,-1.35,-1.49,-0.17
48896,이문)맥도날드 외대점,N,327,267,81.65,60,18.35,-4.66,-6.0,1.08,6.66,0.53,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,12.58,-12.58,-2.24,-1.99,-1.78,-1.61,-0.22
262726,스타벅스 사이버한국외대,N,327,259,79.2,68,20.8,-4.72,-6.03,1.38,5.91,0.39,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,10.13,-10.13,-2.3,-2.02,-1.48,-2.36,-0.36
262722,스타벅스 회기역사거리,N,320,262,81.88,58,18.12,-4.51,-5.29,1.85,7.76,0.39,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,12.81,-12.81,-2.09,-1.28,-1.01,-0.51,-0.36
265117,[직영A] 도미노피자 장안점,N,319,240,75.24,79,24.76,-2.8,-3.5,2.26,7.21,1.02,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,6.17,-6.17,-0.38,0.51,-0.6,-1.06,0.27
262725,스타벅스 답십리역,N,279,216,77.42,63,22.58,-3.64,-5.28,1.03,5.89,0.37,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,8.35,-8.35,-1.22,-1.27,-1.83,-2.38,-0.38
263436,[직영A] 파파존스 장안점,N,279,207,74.19,72,25.81,-2.95,-2.82,3.3,6.88,0.73,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,5.12,-5.12,-0.53,1.19,0.44,-1.39,-0.02
263520,버거킹 동대문구청점,N,246,169,68.7,77,31.3,-1.56,-3.7,2.02,8.89,1.3,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-0.37,0.37,0.86,0.31,-0.84,0.62,0.55
264236,[직영A]BHC치킨 휘경점,N,246,137,55.69,109,44.31,0.28,-1.34,4.76,9.58,1.28,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-13.38,13.38,2.7,2.67,1.9,1.31,0.53
263881,GS더프레시 동대문장안점,N,235,174,74.04,61,25.96,-2.63,-5.34,1.29,10.14,1.35,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,4.97,-4.97,-0.21,-1.33,-1.57,1.87,0.6
262724,스타벅스 답십리초교사거리,N,204,167,81.86,37,18.14,-4.09,-4.6,1.65,6.09,0.46,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,12.79,-12.79,-1.67,-0.59,-1.21,-2.18,-0.29
30117,◇올리브영 경희대점,N,193,162,83.94,31,16.06,-7.4,-9.63,0.55,7.57,0.45,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,14.87,-14.87,-4.98,-5.62,-2.31,-0.7,-0.3
261815,[직영A] 맘스터치 BEEF 동대문장안점,N,193,109,56.48,84,43.52,0.32,-3.41,1.89,8.16,0.56,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-12.59,12.59,2.74,0.6,-0.97,-0.11,-0.19
218253,올리브영 청량리중앙점,N,173,127,73.41,46,26.59,-4.12,-7.66,0.77,8.41,0.65,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,4.34,-4.34,-1.7,-3.65,-2.09,0.14,-0.1
262100,[직영A] 호식이두마리치킨 답십리점,N,167,99,59.28,68,40.72,1.21,-2.55,2.83,11.38,0.58,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-9.79,9.79,3.63,1.46,-0.03,3.11,-0.17
265106,[직영A] 도미노피자 전농점,N,151,96,63.58,55,36.42,-0.45,-3.44,1.85,8.97,0.97,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-5.49,5.49,1.97,0.57,-1.01,0.7,0.22
264350,[직영A] 지어앤,N,148,121,81.76,27,18.24,-4.09,-3.75,2.59,6.8,0.8,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,12.69,-12.69,-1.67,0.26,-0.27,-1.47,0.05
30122,올리브영 장안동사거리점,N,145,114,78.62,31,21.38,-5.83,-8.34,0.55,5.8,0.37,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,9.55,-9.55,-3.41,-4.33,-2.31,-2.47,-0.38
103707,회기)스타벅스 경희대삼거리,N,145,119,82.07,26,17.93,-5.01,-6.08,1.32,6.67,0.74,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,13.0,-13.0,-2.59,-2.07,-1.54,-1.6,-0.01
78862,◇올리브영 회기중앙점,N,123,106,86.18,17,13.82,-7.1,-8.89,0.8,9.46,0.47,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,17.11,-17.11,-4.68,-4.88,-2.06,1.19,-0.28
263784,[직영A] 교촌치킨 청량리역점,N,118,87,73.73,31,26.27,-3.84,49.5,57.48,8.47,0.69,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,4.66,-4.66,-1.42,53.51,54.62,0.2,-0.06
115965,배스킨라빈스 전농동아점,N,111,80,72.07,31,27.93,-1.84,-4.69,1.06,8.78,0.5,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,3.0,-3.0,0.58,-0.68,-1.8,0.51,-0.25
