지점코드,지점명,할증항목명,적용건수,총금액,건당평균금액
p244F,광주남구 본사 지점,프로모션 제안 수락,6,11000,1833
p242F,광주서구 본사 지점,프로모션 제안 수락,1,500,500
p244F,광주남구 본사 지점,특별할증(50)_1/10~_2000,2,4000,2000
p244F,광주남구 본사 지점,특별 기상 프로모션(500),9,4500,500
p240F,광주동구 본사 지점,특별 기상 프로모션(500),10,5000,500
p251F,광주북구 본사 지점,특별 기상 프로모션(500),1,500,500
p242F,광주서구 본사 지점,특별 기상 프로모션(500),100,50000,500
p240F,광주동구 본사 지점,"특별 기상 프로모션(1,500)(2)",1,1500,1500
p242F,광주서구 본사 지점,"특별 기상 프로모션(1,500)(2)",56,84000,1500
p244F,광주남구 본사 지점,특별 기상 프로모션 1000원,6,6000,1000
p242F,광주서구 본사 지점,특별 기상 프로모션 1000원,20,20000,1000
p242F,광주서구 본사 지점,특별 기상 프로모션 1000,29,29000,1000
p244F,광주남구 본사 지점,특별 기상 프로모션 1000,6,6000,1000
p242F,광주서구 본사 지점,"특별 기상 프로모션 1,000",14,14000,1000
p240F,광주동구 본사 지점,"특별 기상 프로모션 1,000",2,2000,1000
p240F,광주동구 본사 지점,요기요OD 주류배송 할증,1,500,500
p244F,광주남구 본사 지점,요기요OD 주류배송 할증,3,1500,500
p242F,광주서구 본사 지점,요기요OD 주류배송 할증,27,13500,500
p244F,광주남구 본사 지점,요기요 주류배송 할증(100),3,1500,500
p240F,광주동구 본사 지점,요기요 주류배송 할증(100),1,500,500
p242F,광주서구 본사 지점,요기요 주류배송 할증(100),27,13500,500
p244F,광주남구 본사 지점,요기요 기상할증(원가500),18,9000,500
p242F,광주서구 본사 지점,요기요 기상할증(원가500),98,49000,500
p240F,광주동구 본사 지점,요기요 기상할증(원가500),4,2000,500
p244F,광주남구 본사 지점,요기요 (-)픽업 책임배송 할증,12,49000,4083
p242F,광주서구 본사 지점,요기요 (-)픽업 책임배송 할증,13,53000,4077
p244F,광주남구 본사 지점,요기요 (+)픽업 책임배송 할증,1,1500,1500
p242F,광주서구 본사 지점,요기요 (+)픽업 책임배송 할증,3,5500,1833
p240F,광주동구 본사 지점,시간 내 배송 완료,6,10000,1667
p242F,광주서구 본사 지점,시간 내 배송 완료,87,73000,839
p244F,광주남구 본사 지점,시간 내 배송 완료,17,13500,794
p242F,광주서구 본사 지점,배송책임 할증,38,19000,500
p240F,광주동구 본사 지점,배송책임 할증,3,1500,500
p244F,광주남구 본사 지점,미배차대응_1/9_2000,8,16000,2000
p242F,광주서구 본사 지점,광주서구zone_상시 할증,1455,5820000,4000
p251F,광주북구 본사 지점,광주북구zone_상시할증,3,3000,1000
p240F,광주동구 본사 지점,광주동구 ZONE 상시 할증,68,272000,4000
p244F,광주남구 본사 지점,광주남구ZONE 프렌즈 권역 상시할증,177,265500,1500
p244F,광주남구 본사 지점,광주 프렌즈 권역_피크타임 주말추가,56,56000,1000
p240F,광주동구 본사 지점,광주 프렌즈 권역_피크타임 주말추가,15,15000,1000
p242F,광주서구 본사 지점,거리별 요금 조정,1455,-339340,-233
p244F,광주남구 본사 지점,거리별 요금 조정,177,-76880,-434
p240F,광주동구 본사 지점,거리별 요금 조정,68,-26120,-384
p251F,광주북구 본사 지점,거리별 요금 조정,3,-660,-220
p242F,광주서구 본사 지점,VCC 추가 할증,5,30000,6000
p240F,광주동구 본사 지점,VCC 추가 할증,1,6000,6000
p244F,광주남구 본사 지점,VCC 추가 할증,12,65000,5417
