할증항목명,적용건수,총금액,건당평균금액
"특별 기상 프로모션 1,000",1056,1056000,1000
시간 내 배송 완료,109,408800,3750
프로모션 제안 수락,90,388900,4321
특별할증(50)_1/29~_1500,213,319500,1500
VCC 추가 할증,25,157000,6280
특별할증(50)직_1/29~_1000,152,152000,1000
특별할증(50)_1/22_1500,99,148500,1500
미배차대응_1/4_2000,74,148000,2000
특별할증(50)_1/23~_1500,95,142500,1500
특별할증_1/26_1500,94,141000,1500
특별할증(50)_1/21_1500,65,97500,1500
특별할증(50)_1/20_1500,63,94500,1500
요기요 기상할증(원가500),188,94000,500
스타벅스 아침배송 기본할증,75,75000,1000
특별할증(50)_1/9~_1000,67,67000,1000
특별할증(50)_1/28_1500,44,66000,1500
미배차개선할증_1/14~_1000,62,62000,1000
특별 기상 프로모션(1000),62,62000,1000
특별할증(50)_1/4_1000,58,58000,1000
요기요 (-)픽업 책임배송 할증,15,56000,3733
특별 기상 프로모션 1000원,47,47000,1000
특별할증(50)_1/27_1500,31,46500,1500
망우양원 할증 400,105,42000,400
요기요 단건(수도권),79,39500,500
[스타벅스] 아침할증 550원,79,39500,500
스타벅스 아침배송 특별할증_서울,75,37500,500
특별할증(50)_1/16~_1000,36,36000,1000
특별할증(50)_1/5_1000,33,33000,1000
장안 동대문zone픽업-> 이문배송지,109,32700,300
"특별 기상 프로모션(1,500)(2)",21,31500,1500
특별 기상 프로모션(500),63,31500,500
특별할증(50)직_1/28_1000,31,31000,1000
특별할증(50)_1/8_1000,27,27000,1000
장안 이문픽업지->동대문배송지,87,26100,300
장안 동대문zone픽업-> 석관배송지,52,26000,500
[성북삼선요] 용신→ 500원,52,26000,500
중랑NVP(동)_1/29~_1000,25,25000,1000
스타벅스 아침배송 추가할증(2),4,22000,5500
동대문회기지점 이탈대응_G1상점,22,22000,1000
[올리브영] 기상할증 550원,34,17000,500
"요기요_동대문_대학교,병원 할증",33,16500,500
특별할증(50)_1/4_2000,7,14000,2000
중랑중앙/면목 픽업 -> 중랑상부배송,66,13200,200
특별 기상 프로모션 1000,13,13000,1000
프라임 기상할증,26,13000,500
CU편의점 (-)픽업 책임배송 할증,2,12000,6000
"특별 기상 프로모션(2,000)",6,12000,2000
배송책임 할증,24,12000,500
GS25 기상할증_1,24,12000,500
요기요 (+)픽업 책임배송 할증,5,11500,2300
성수동 할증,32,9900,309
[동대문회기] 하/상월곡 할증,9,9000,1000
CU(BGF)특별할증,7,7000,1000
SPC선택배송 할증(상시),23,6900,300
요기요)성수동2가->_500원,13,6500,500
요기요OD 주류배송 할증,12,6000,500
[강북서요기요] 중구픽업할증,6,6000,1000
CU 기상할증,12,6000,500
요기요 주류배송 할증(100),12,6000,500
[용산요기요] 광역권역할증,6,6000,1000
[동대문]장안 요기요 한집 원가할증,20,6000,300
중랑NVP(동할증)_1/29~_500,10,6000,600
[성동행당]*한파할증,9,5400,600
특별할증(100)_1/1_1500,3,4500,1500
[성북요] 용신→ 500원,9,4500,500
스타벅스 1/1 특별할증_500,8,4000,500
"특별 기상 프로모션(1,000)",4,4000,1000
법인 픽업할증 500원,7,3500,500
[성북삼선요] →종암 500원,7,3500,500
"[종로교남] 명동P_1,100원",3,3000,1000
특별할증(50)_1/26_1500,2,3000,1500
중랑구_양원지구_550원,6,3000,500
"[종로창신]창신, 숭인,신설_550",4,2000,500
프라임 기상할증 550원,4,2000,500
[중구신당] 장충동특수지역 1100원,2,2000,1000
[종로교남] 남대문시장★,2,2000,1000
특별할증(50)_1/11_1000,2,2000,1000
"요기요_동대문_롯데백화점_2,000원",1,2000,2000
장안지점 하월곡 요기요 1650,1,1500,1500
요기요_광진구_픽업할증_500원,3,1500,500
신내특수할증_550원,3,1500,500
재배차 할증,2,1400,700
[기상할증]슈퍼키친,2,1000,500
[종로요기요] 창경궁 지역 배송할증,1,1000,1000
"요기요)성수동1가->_1,000원",1,1000,1000
[종로창신]왕십리도선동(행),2,1000,500
[성북삼선요] →동묘시장 1000원,1,1000,1000
[스타벅스] 기상할증 550원,2,1000,500
[강북서요기요] 명동 픽업 1000원,1,1000,1000
[성북요] →창신 500원,2,1000,500
"[동작사당지점] 상도동,봉천동 할증",2,1000,500
스타벅스 아침배송 추가할증(3),1,1000,1000
"[성북삼선요] →동묘 1,000원",1,1000,1000
미배차대응_1/4_1000,1,1000,1000
[용산요기요] 중구도착,1,1000,1000
[중랑직영]한파할증,1,500,500
중랑신내 요기요  할증(시티원스퀘어),1,500,500
[성북요] →종암 500원,1,500,500
[강북서요기요]두타몰 픽업할증 500,1,500,500
[성북삼선요] →창신 500원,1,500,500
[중구을지로]픽업할증☆,1,500,500
[종로교남] 픽업할증 500원,1,0,0
거리별 요금 조정,2976,-2937540,-987
