구군,거리대,완료오더수,현재_건당평균원가,현재_총원가,평균거리_km
동대문구,1_1km미만,5425,3941,21379440,0.6
동대문구,2_1~2km,4810,3996,19220170,1.41
동대문구,3_2~3km,959,4812,4614950,2.3
동대문구,4_3km이상,41,4994,204750,3.09
동작구(사당),1_1km미만,2436,3373,8217380,0.61
동작구(사당),2_1~2km,1410,3428,4833246,1.35
동작구(사당),3_2~3km,42,4271,179390,2.28
성동구,1_1km미만,6917,3570,24690450,0.59
성동구,2_1~2km,9056,3471,31436050,1.48
성동구,3_2~3km,4384,4266,18702180,2.42
성동구,4_3km이상,807,4886,3943300,3.23
중구,1_1km미만,6088,4529,27572500,0.56
중구,2_1~2km,3110,4529,14085000,1.38
중구,3_2~3km,406,6060,2460560,2.3
중구,4_3km이상,10,8530,85300,3.15
중랑구,1_1km미만,8213,3787,31099783,0.6
중랑구,2_1~2km,7548,4022,30355894,1.42
중랑구,3_2~3km,1581,5308,8391808,2.36
중랑구,4_3km이상,345,7389,2549362,3.46
