store_id,sgg,admin_dong
42,성북구,안암동
283,성동구,사근동
293,성북구,안암동
406,성북구,안암동
408,성동구,행당1동
409,성동구,사근동
879,성동구,사근동
880,성동구,행당1동
890,성북구,안암동
897,성동구,사근동
918,성동구,사근동
1277,성동구,사근동
1582,성동구,사근동
1641,성동구,행당2동
1642,성동구,왕십리도선동
1644,성동구,행당2동
1648,성동구,금호2·3가동
1649,성동구,금호4가동
1651,성동구,금호1가동
1652,성동구,행당2동
1653,성동구,마장동
1655,성동구,행당1동
1658,성동구,사근동
1659,성동구,행당1동
1661,성동구,행당1동
1662,성동구,사근동
1665,성동구,왕십리도선동
1666,성동구,왕십리도선동
1672,성동구,마장동
1673,성동구,왕십리도선동
1674,성동구,행당1동
1679,성동구,왕십리2동
1847,성동구,마장동
1876,성동구,행당1동
1890,성북구,안암동
1898,성북구,안암동
1933,성북구,종암동
1967,성동구,행당1동
1991,성북구,안암동
2012,성북구,보문동
2032,성북구,안암동
2155,성동구,왕십리도선동
2158,성북구,동선동
2159,성북구,안암동
2160,성북구,동선동
2193,성동구,왕십리도선동
2472,성동구,금호4가동
2599,성동구,왕십리도선동
2600,성동구,금호2·3가동
2677,성동구,행당1동
2680,성동구,왕십리도선동
2684,성동구,금호2·3가동
3067,성동구,금호2·3가동
3087,성북구,안암동
3088,성동구,왕십리도선동
3118,성동구,왕십리도선동
3216,성동구,행당1동
3261,성북구,안암동
3268,성북구,안암동
3336,성동구,금호2·3가동
3338,성동구,금호2·3가동
3362,성북구,종암동
3421,성북구,안암동
3466,성동구,왕십리도선동
3498,성동구,행당1동
3526,성북구,종암동
3603,성동구,사근동
3615,성동구,사근동
3619,성동구,사근동
3630,성동구,금호4가동
3724,성동구,왕십리도선동
3729,성동구,사근동
3738,성동구,왕십리2동
3746,성동구,마장동
3762,성북구,종암동
3787,성북구,종암동
3977,성동구,행당2동
3989,성동구,마장동
4061,성동구,왕십리도선동
4111,성동구,왕십리도선동
4161,성북구,보문동
4203,성북구,길음2동
4277,성동구,왕십리도선동
4283,성동구,사근동
4332,성동구,행당1동
4336,성동구,마장동
4586,성동구,행당2동
4597,성동구,왕십리도선동
4613,성동구,금호2·3가동
4614,성동구,금호2·3가동
4622,성동구,행당2동
4636,성동구,사근동
4661,성북구,길음1동
4731,성북구,종암동
4749,성동구,왕십리도선동
4858,성동구,왕십리2동
4861,성동구,왕십리2동
4895,성동구,금호4가동
4968,성동구,왕십리도선동
5001,성동구,왕십리도선동
5005,성북구,돈암2동
5006,성북구,돈암2동
5094,성동구,왕십리도선동
5112,성동구,사근동
5135,성동구,왕십리2동
5157,성동구,왕십리도선동
5171,성북구,성북동
5194,성동구,사근동
5232,성동구,금호1가동
5245,성동구,행당2동
5359,성동구,행당1동
15973,성동구,사근동
16013,성동구,금호2·3가동
16114,성동구,왕십리2동
16266,성동구,사근동
16295,성동구,응봉동
16311,성동구,왕십리도선동
16424,성동구,마장동
16502,성북구,동선동
16596,성동구,금호2·3가동
16599,성동구,금호4가동
16600,성북구,정릉2동
16623,성북구,길음2동
16709,성동구,행당1동
16731,성북구,종암동
16805,성북구,종암동
16825,성동구,왕십리도선동
16826,성동구,행당1동
16827,성동구,사근동
16897,성동구,사근동
17096,성북구,안암동
17115,성동구,응봉동
17127,성동구,마장동
17136,성동구,행당2동
17144,성북구,안암동
17182,성북구,안암동
17197,성동구,금호4가동
17215,성동구,왕십리도선동
17376,성북구,길음1동
17628,성동구,왕십리도선동
17732,성북구,안암동
17753,성북구,종암동
17773,성북구,길음1동
17798,성동구,왕십리도선동
17814,성동구,행당2동
17817,성동구,왕십리도선동
17884,성동구,사근동
17895,성동구,왕십리2동
17902,성동구,금호4가동
17904,성동구,금호1가동
17929,성동구,왕십리도선동
18056,성북구,보문동
18111,성동구,금호2·3가동
18226,성동구,행당1동
18266,성동구,왕십리도선동
18354,성북구,안암동
18531,성북구,안암동
18532,성동구,행당1동
18535,성동구,사근동
18867,성북구,안암동
18940,성북구,길음1동
19066,성동구,행당2동
19085,성북구,길음2동
19155,성동구,행당2동
19240,성동구,행당1동
19259,성동구,금호4가동
19261,성동구,왕십리도선동
19262,성동구,왕십리도선동
19358,성동구,금호1가동
19412,성북구,길음2동
19416,성북구,안암동
19420,성동구,사근동
19463,성북구,종암동
19529,성동구,왕십리도선동
19653,성동구,왕십리도선동
19654,성북구,보문동
19660,성동구,사근동
19750,성동구,행당2동
19761,성동구,왕십리도선동
19896,성동구,사근동
19898,성북구,안암동
19984,성동구,금호4가동
20238,성동구,왕십리2동
20265,성동구,왕십리도선동
20266,성동구,왕십리도선동
20294,성동구,행당1동
20491,성동구,왕십리도선동
20515,성동구,마장동
20543,성동구,왕십리2동
20546,성동구,행당1동
20575,성동구,왕십리도선동
20596,성동구,왕십리도선동
20714,성동구,마장동
20717,성동구,응봉동
20723,성동구,왕십리2동
20740,성동구,왕십리도선동
20877,성동구,행당1동
20923,성동구,왕십리도선동
20998,성북구,종암동
21065,성북구,동선동
21071,성동구,왕십리도선동
21584,성동구,왕십리도선동
21715,성동구,행당1동
21848,성북구,동선동
21956,성동구,왕십리2동
21976,성북구,안암동
22016,성북구,안암동
22258,성동구,행당1동
22280,성동구,왕십리도선동
23058,성동구,행당1동
23138,성동구,행당2동
23140,성동구,왕십리도선동
23373,성동구,왕십리도선동
23963,성북구,성북동
